route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,route_url
67283,BRENG,4,Nijmegen Aldenhof - Dukenburg - Lindenholt Oost,,3,,,http://www.breng.nl/dienstregeling/lijn?ID=X004
67284,BRENG,99,Nijmegen CS - Grave - Uden Busstation,,3,,,http://www.breng.nl/dienstregeling/lijn?ID=X099
67299,OVREGIOY,76,Emmeloord - Marknesse - Steenwijk,,3,,,http://www.ovregioijsselmond.nl/dienstregeling/lijn?ID=Y076
67257,BRAVO:CXX,25,Helmond Station - Donk - Gemert,,3,,,http://www.connexxion.nl/dienstregeling/lijn?ID=L025
67259,BRAVO:CXX,21,Son en Breugel - Ekkersrijt,,3,,,http://www.connexxion.nl/dienstregeling/lijn?ID=L021
67260,BRAVO:CXX,23,Helmond Station - Boxmeer Station,,3,,,http://www.connexxion.nl/dienstregeling/lijn?ID=L023
67269,BRAVO:CXX,14,Veldhoven Centrum - De Hurk - Eindhoven Station,,3,,,http://www.connexxion.nl/dienstregeling/lijn?ID=L014
67287,BRAVO:CXX,7,Veldhoven MMC - Eindhoven Station,,3,,,http://www.connexxion.nl/dienstregeling/lijn?ID=L007
67288,BRAVO:CXX,3,Eindhoven Blixembosch West - Station,,3,,,http://www.connexxion.nl/dienstregeling/lijn?ID=L003
67289,BRAVO:CXX,9,Best Station - Eindhoven Station,,3,,,http://www.connexxion.nl/dienstregeling/lijn?ID=L009
67292,CXX,72,Beverwijk Station - Heemskerk Centrum,,3,ff99ff,ffffff,http://www.connexxion.nl/dienstregeling/lijn?ID=N072
67295,BRAVO:CXX,319,Reusel - Eersel - Eindhoven Station,,3,,,http://www.connexxion.nl/dienstregeling/lijn?ID=L319
67296,BRAVO:CXX,318,Luyksgestel - Valkenswaard - Eindhoven Station,,3,,,http://www.connexxion.nl/dienstregeling/lijn?ID=L318
67297,BRAVO:CXX,317,Dommelen - Valkenswaard - Eindhoven Station,,3,,,http://www.connexxion.nl/dienstregeling/lijn?ID=L317
62046,ARR,96,Kop Afsluitdijk via Makkum - Bolsward,,3,,,
